HaloPosX,HaloPosY,HaloPosZ,HaloHMrad
7311.81787109375,24546.765625,21297.25,412.61474609375
6854.3232421875,24897.646484375,21297.80859375,33.351593017578125
6813.98095703125,23897.744140625,21113.646484375,61.41075134277344
7318.79345703125,25070.103515625,20789.38671875,15.402804374694824
7251.3857421875,24814.08984375,21326.31640625,6.138425350189209
8091.1328125,24393.041015625,20880.478515625,35.29453659057617
7193.23974609375,25530.23046875,21425.736328125,18.35384750366211
7862.115234375,24989.984375,22037.6796875,17.825437545776367
7343.287109375,24619.5546875,21332.4140625,4.011430263519287
7505.72802734375,23308.591796875,21261.2734375,11.946903228759766
7035.03369140625,24313.630859375,20848.7109375,5.934654235839844
7244.9638671875,24504.921875,21398.6328125,5.124549865722656
7256.4130859375,24384.3828125,21180.763671875,4.869017124176025
7645.8779296875,23297.330078125,20367.837890625,7.802554130554199
6913.88134765625,24442.84375,21154.931640625,13.162543296813965
7163.73388671875,23773.771484375,20549.2578125,6.095661163330078
7013.8740234375,23861.318359375,20391.916015625,28.851137161254883
7481.43115234375,23795.857421875,20355.568359375,27.186187744140625
7478.12646484375,24509.470703125,20665.123046875,11.604933738708496
8072.99169921875,24267.716796875,20121.294921875,44.21767044067383
6723.083984375,23810.919921875,21221.1796875,16.35598373413086
6439.765625,24244.68359375,20319.751953125,33.682456970214844
7267.1875,24551.875,20823.896484375,4.091290473937988
7425.84814453125,24080.3125,20985.4296875,16.88272476196289
7530.640625,23725.103515625,21378.689453125,37.79819107055664
7637.22412109375,24349.26953125,21824.703125,14.936482429504395
6621.4638671875,24609.900390625,20769.857421875,7.922603130340576
6716.43701171875,24256.1328125,20856.8046875,13.14577865600586
7131.75830078125,24978.150390625,21418.515625,3.425488233566284
6912.05712890625,25352.2265625,21630.5078125,22.961355209350586
7071.08935546875,24893.158203125,21576.099609375,13.179057121276855
7978.20654296875,24419.044921875,21403.51953125,18.25502586364746
7840.76220703125,24464.263671875,21017.65625,8.078482627868652
6993.21044921875,24217.623046875,21743.93359375,16.526296615600586
7795.74609375,24263.494140625,20456.373046875,14.722794532775879
6863.02001953125,23475.056640625,20570.619140625,24.831087112426758
7701.55322265625,24443.94140625,21572.298828125,21.721336364746094
6350.39208984375,24452.63671875,20997.07421875,26.791812896728516
7137.544921875,23793.5,21183.775390625,21.648406982421875
6730.00048828125,23753.603515625,20440.24609375,4.528197288513184
7168.275390625,23700.92578125,20810.564453125,13.102967262268066
6374.73779296875,24815.962890625,21251.630859375,14.533073425292969
7745.4775390625,25189.34765625,21757.87890625,12.945066452026367
7904.37109375,25098.884765625,21798.70703125,9.178471565246582
7934.607421875,24199.62890625,20141.31640625,16.074440002441406
7611.41162109375,25195.880859375,22003.25,18.329153060913086
7592.03857421875,24244.322265625,22305.21484375,12.720947265625
7696.6806640625,24352.865234375,20973.91015625,8.06225872039795
7188.56982421875,24732.384765625,21601.70703125,5.871509075164795
7157.37890625,23385.291015625,20691.4296875,26.89457893371582
7774.43603515625,23319.546875,20533.7890625,16.76983642578125
6694.83740234375,23798.451171875,21104.099609375,8.613252639770508
7897.3330078125,24588.43359375,21570.7109375,14.565893173217773
7300.5830078125,23839.83984375,21048.6875,6.143951892852783
7173.6494140625,25003.4296875,22055.779296875,23.8507137298584
7196.89306640625,25658.533203125,21959.521484375,16.443965911865234
7416.4794921875,24388.57421875,20956.71875,11.396812438964844
7351.892578125,23559.81640625,21471.87890625,14.915732383728027
6926.751953125,23931.619140625,19958.044921875,11.549857139587402
6525.70068359375,24107.4765625,20388.513671875,8.272957801818848
7479.7392578125,24882.0546875,21992.783203125,14.133681297302246
6304.25341796875,25246.125,21532.564453125,9.13932991027832
7349.08935546875,24580.6796875,21023.759765625,10.77700138092041
7686.77685546875,24762.306640625,21786.49609375,12.9183931350708
7603.2919921875,24399.662109375,21376.166015625,5.622048854827881
7048.96435546875,24878.240234375,21399.880859375,12.396893501281738
7338.84521484375,24715.357421875,21539.181640625,4.674785614013672
7723.62353515625,23507.89453125,21351.4296875,6.702354431152344
7875.34326171875,24443.283203125,22141.73046875,12.844483375549316
7137.73828125,23485.654296875,20707.236328125,13.768608093261719
8200.5166015625,24109.474609375,21082.8125,17.398977279663086
7393.1005859375,24441.595703125,22170.408203125,8.774064064025879
7093.7939453125,25017.677734375,21349.287109375,12.682900428771973
7480.68115234375,24777.564453125,21337.138671875,5.221245288848877
7741.6552734375,24403.83203125,21661.146484375,9.988730430603027
7092.05419921875,25267.197265625,21629.8828125,14.595181465148926
7667.20166015625,24294.466796875,21166.3984375,9.589408874511719
7636.04345703125,23734.796875,21383.16796875,13.417851448059082
8139.79736328125,24933.541015625,21879.166015625,18.831493377685547
7757.68310546875,24897.28515625,21786.107421875,13.646471977233887
7358.5546875,24657.8125,21433.79296875,1.9972631931304932
6903.171875,24456.90234375,20896.849609375,5.689874649047852
6952.76904296875,25819.4453125,21382.486328125,25.086685180664062
