,Radius,Density,Uncertainty
0,0.12443825411700879,320571093726.6637,401655409.2034562
1,0.32106422852600713,104468617398.00694,130892604.14007723
2,0.4496869744830145,70445233568.19972,88263445.04846066
3,0.5606757504900239,47599039069.18561,59638600.88809642
4,0.6753172703262675,30325859950.768677,37996394.32979722
5,0.8171777725322089,15505517704.142101,19427438.032447353
6,1.0185416524183073,7035166110.990806,8814620.46460638
7,1.301850152809763,3320042769.6794505,4159804.6839669254
8,1.662951315046582,1793611193.0359168,2247281.9658063254
9,2.080496074224964,1086299921.1360018,1361065.4481329862
10,2.5371999124412445,717032957.2214873,898397.1776654491
11,3.0259317967360166,501401112.1487793,628224.0439523298
12,3.5429536508315946,367823219.55278474,460859.34962675103
13,4.084999691613478,278132375.19779587,348482.3652504764
14,4.651502298800569,217389736.4493692,272375.66099659953
15,5.241903682314611,172964017.8080893,216713.03093041052
16,5.85334316090484,140907622.5931674,176548.3848047819
17,6.478441899023279,117970618.55042797,147809.7620001221
18,7.121116198255477,98315186.6378078,123182.74258874127
19,7.78965343438754,82827465.89307393,103777.60302659763
20,8.474390491107645,71688882.84585357,89821.65933944583
21,9.166634480753949,62674496.47419428,78527.2004263348
22,9.862777425229847,55347230.74038087,69346.59751406261
23,10.562994148054592,48938492.50373791,61316.851759408004
24,11.280580830818511,42959882.34207237,53826.02941783023
25,12.02966445753643,37529206.09656124,47021.73379564876
26,12.812008887169753,33142568.399928655,41525.552781366256
27,13.631143889798858,29093805.41369849,36452.70751918963
28,14.502765648339462,25374985.28133722,31793.259891977137
29,15.43351038892406,22212331.705101058,27830.65396402334
30,16.40310548064851,19774280.060175326,24775.92866200727
31,17.401914086079163,17562047.335794304,22004.140258271258
32,18.434807735379735,15681959.380727546,19648.508351001707
33,19.495187091475785,14066118.742613798,17623.961704688878
34,20.58994711826838,12545356.423571711,15718.542209577237
35,21.729558779004382,11189425.726421593,14019.646365026361
36,22.927384172147192,9964332.92578746,12484.682172121082
37,24.192018650232576,8836188.077016918,11071.187662662713
38,25.514745918389742,7892977.062142502,9889.403610518524
39,26.893451837515826,7053513.232590638,8837.608253518409
40,28.31718676430792,6339108.147011133,7942.503633667277
41,29.78463908014178,5669000.73502187,7102.901211490341
42,31.29920801636611,5114720.63770568,6408.423126417918
43,32.84990658417726,4620149.011067677,5788.755998080129
44,34.426452366930576,4200830.62888763,5263.376449902078
45,36.02464818923306,3835316.5311136227,4805.41028456769
46,37.643188556513024,3509137.810096513,4396.728871217007
47,39.2808829053046,3220382.288034786,4034.9363713843436
48,40.933791976744075,2970556.8264428116,3721.9207877312356
49,42.58495765984167,2749285.4852269073,3444.6817202036714
50,44.24556413667922,2527996.571011976,3167.4206348140688
51,45.930854582667415,2348975.347319047,2943.1183060464073
52,47.62718836491267,2183998.4713644492,2736.412661284962
53,49.32687032716122,2032422.8607310485,2546.49795872562
54,51.02765430264071,1901864.7794293044,2382.9168979367055
55,52.72857858211149,1779587.49885742,2229.711159411002
56,54.431626441338935,1670253.5076223412,2092.722547996098
57,56.132823269087154,1573135.0161773765,1971.0391891845572
58,57.83134770237491,1481040.8099809852,1855.6509436473011
59,59.532916201619486,1394687.7587151101,1747.4560039883445
60,61.242259064390666,1312588.898265133,1644.5912977360406
61,62.95448222544707,1245220.7560628974,1560.1832545498783
62,64.66749965659854,1177752.4859797328,1475.64975742924
63,66.38086024200277,1120229.2927124645,1403.5768157866778
64,68.09191574033616,1061783.5481589437,1330.3479754319665
65,69.80498507866565,1005997.203115531,1260.4511953265137
66,71.52471788125995,950228.7060888072,1190.5767776629245
67,73.24651681453147,905013.1988886498,1133.9245922281825
68,74.96905880057707,857840.0337135991,1074.819584532252
69,76.69481468765201,817762.340497353,1024.6047567336252
70,78.42486640975771,778761.2978792154,975.7389043885405
71,80.16093540148992,739536.6833530404,926.5929305104588
72,81.89445501673438,707402.9867358839,886.3314305918522
73,83.62908527058221,674006.4277188361,844.4876435490406
74,85.37732697458016,641405.3253496162,803.6405136335849
75,87.13512605311792,613929.2337106459,769.2146996830229
76,88.89598376735742,586819.183872801,735.2475130768901
77,90.65673028407124,563832.5523472285,706.4467101589414
78,92.41547641491817,539901.527951558,676.4626423986191
79,94.17259813082086,518989.19051318575,650.2607994515064
80,95.92728339338396,498285.37642539287,624.3202231417932
81,97.68285361006,477375.60168638814,598.1215910957359
82,99.43989116178152,458814.63190917554,574.8658638733808
83,101.19644950586776,441171.5778121017,552.7602272403999
84,102.9540099773023,424097.7427738092,531.3677862712057
85,104.71264168479752,408117.4998038616,511.3455473517547
86,106.4683554702718,393892.8873387798,493.5230029856848
87,108.22235670034827,379857.890921728,475.9380355966207
88,109.98029805692846,365602.5510102538,458.0769916736786
89,111.74687429909886,350757.7489196609,439.47738873092123
90,113.52144414465178,337457.42430683697,422.81291888493564
91,115.29967451218222,326143.3971810889,408.63715480682424
92,117.0856908257706,313127.61275580747,392.3291959117594
93,118.88566111424235,300589.1399015114,376.61927838135097
94,120.69409339813687,291053.3973182717,364.67159294033087
95,122.50277799811161,281688.87451781536,352.9384351135073
96,124.31093856639251,272397.96671889006,341.29751225153893
97,126.11812822748006,263524.6881813977,330.17985257573673
98,127.92429553562758,255008.85950882718,319.5100550889294
99,129.73132528955955,246756.14349422732,309.16992120676986
100,131.5379088382603,239706.26699405254,300.336869550135
101,133.3407799206443,233188.29324165464,292.17025856764576
102,135.14322561380826,225448.43456673346,282.47270266167544
103,136.94554910358505,219596.4568449724,275.1405427992282
104,138.74598002577926,213028.78959635322,266.9116689928284
105,140.54867357848167,206333.2367676125,258.52256260145725
106,142.35165600541995,200832.93064251065,251.6310251214567
107,144.1552073007179,194242.66502317303,243.37383697849984
108,145.96596130825628,188412.9841400704,236.06961365191174
109,147.78430567931656,183175.35107600177,229.5071889892571
110,149.6095490865814,176990.28679237698,221.75769262353916
111,151.4407662035054,172212.57870404856,215.7715250157122
112,153.28104467098507,165692.82455577512,207.60268330921843
113,155.1316111447082,160661.39944445266,201.29862423616956
114,156.99059436114973,155317.85911632955,194.60350443563797
115,158.86692366549943,149077.83894395488,186.78515179929573
116,160.75925242482873,144381.67218563164,180.90115034715515
117,162.66466627024084,138849.67028953304,173.96990006048287
118,164.58434137704754,134108.7233043226,168.0297918017506
119,166.51635594721358,129443.87900182106,162.18503541585747
120,168.4638160422815,124859.17075879681,156.4406844701028
121,170.42337590275625,120979.27197786621,151.57941543175517
122,172.3935926838496,116949.6629188245,146.53056883512664
123,174.38045410799822,112432.46829683683,140.87080820838364
124,176.38590215516336,108423.61707681285,135.84796987790264
125,178.40672125852132,104749.65179867647,131.24472256064016
126,180.44382158543021,100967.65934278209,126.50612398702121
