,Radius,Density,Uncertainty
0,0.040180235755087446,59660509681.64336,1048613898.2739147
1,0.09302358385947435,38213905947.19179,671660921.0579197
2,0.1160741356038846,30778996380.056004,540982360.8828447
3,0.13555603108927083,25543434473.029022,448960301.2276757
4,0.15306922696888187,21269089580.22936,373832926.61215276
5,0.1697686154931839,18315549861.12265,321920483.7737325
6,0.18640702796725644,15249390268.359037,268028594.8097486
7,0.20318847388095423,12591281384.661875,221308747.23479858
8,0.22054549016685915,10578422852.654074,185930044.5856651
9,0.2390384620824469,8752401851.428581,153835263.45418152
10,0.25842879638881977,7316416006.968181,128595876.0895595
11,0.2786968381622768,6102943240.31671,107267456.08313188
12,0.30029687433640284,5055014581.915227,88848696.98330072
13,0.3228202385649911,4431360852.671611,77887141.81582232
14,0.34587042500400467,3977205052.286217,69904741.2830899
15,0.3698852583416908,3285061658.1220737,57739387.90961183
16,0.3946950620321604,2831521826.304458,49767813.85497218
17,0.41980832988529637,2552177360.0213017,44857958.21824511
18,0.4450043343056522,2288056518.803841,40215678.3181516
19,0.47032646348693263,2102963142.1981163,36962412.66180858
20,0.49590811788200373,1862592026.1717746,32737566.203844313
21,0.5219482569359781,1688537686.7227473,29678326.509529516
22,0.5483410621450204,1527770864.354706,26852632.84355113
23,0.5744300131670914,1417180249.6019726,24908853.679290086
24,0.6006077828649764,1359265565.8054776,23890925.02485505
25,0.6271978108839009,1202782692.5189822,21140527.540058788
26,0.6541374477936946,1090719754.964666,19170870.317418363
27,0.6819550673555103,970263102.2343346,17053682.23326352
28,0.7106086999493426,914690044.5119535,16076910.814309357
29,0.7399134116108947,809281774.6246057,14224218.348443784
30,0.769343807201446,783744134.7200633,13775359.894570112
31,0.7992912937055742,676924912.4577022,11897868.038318226
32,0.8301445235773499,647695893.665213,11384128.623380842
33,0.860974044888921,606744582.196779,10664354.109426992
34,0.8917545445014647,571551829.1529583,10045794.024084195
35,0.9231447109426829,526965375.7179726,9262126.988784727
36,0.9550686544499227,496149474.19836086,8720495.970314771
37,0.987295730800823,460865151.30157185,8100326.421341881
38,1.0202592764634395,425362352.38149554,7476316.861687199
39,1.053946254490536,389107742.5539449,6839093.21166255
40,1.0882052145055967,365236864.0651068,6419530.336974184
41,1.1236560197143515,322228260.04141825,5663596.132501981
42,1.1592243117949983,317365911.717521,5578133.804776405
43,1.1948101092040415,309367700.0104366,5437554.4499881165
44,1.2307447968578784,278960877.54925203,4903113.547533739
45,1.266437390131287,272413507.20748484,4788034.685918919
46,1.3026555329784832,248571790.16983694,4368984.363053776
47,1.3393237033637178,240509858.1592486,4227285.038016943
48,1.3768687907359562,224955759.58776563,3953900.7839397797
49,1.4154167023379038,212469670.53645223,3734440.933795028
50,1.454186289385946,193659463.42077863,3403826.1818232522
51,1.4922088139394711,205852880.97148952,3618141.935734195
52,1.5299250346250353,191262446.04854503,3361695.3695935076
53,1.5683354624707397,179158084.63595223,3148944.8973849094
54,1.607480044556707,166994239.06616473,2935148.910910772
55,1.6465648825684678,163015924.25152698,2865224.664058055
56,1.6849103724491674,156922082.3045428,2758117.17547657
57,1.72408441658592,146397979.30224475,2573141.8755006883
58,1.7639735903314675,137099442.3018931,2409707.5504469234
59,1.8031073584703865,137997756.4761803,2425496.6332623498
60,1.8420991474890123,126172777.60739729,2217656.685954349
61,1.880886798248121,131883332.59364223,2318027.38941276
62,1.9192272290784418,120684360.70812514,2121190.3588845856
63,1.957701393284982,120866445.33173141,2124390.7416502438
64,1.996974043140818,106251625.54424888,1867515.5786370425
65,2.0360998575264206,109355179.85566385,1922064.730200845
66,2.074125455724147,109535904.94841713,1925241.2173786983
67,2.1120219152266806,105488864.17970127,1854109.019219447
68,2.1499022881538634,101984838.5016847,1792521.0434297025
69,2.187077633126816,98066520.40801795,1723651.3198419854
70,2.223878038666051,97826839.51599148,1719438.605001452
71,2.2612211955209074,91273813.1624038,1604260.331352852
72,2.2987438987707502,85510512.16635163,1502962.5456543216
73,2.3363735937255026,84415475.12325796,1483715.793177011
74,2.374000613605638,83385991.75744647,1465621.234964346
75,2.411390127514307,82033127.97424595,1441842.8299003348
76,2.4485070344136006,78412848.78275047,1378211.541865897
77,2.4853716850356564,78924534.95821913,1387205.1163092635
78,2.5223965632582193,77894440.5473665,1369099.8181561253
79,2.559640258012003,74323775.35168357,1306340.562992938
80,2.5971671030097783,72812087.91611923,1279770.61809576
81,2.634944509321749,68742658.79260236,1208244.9144145292
82,2.672836151996564,68239274.78008796,1199397.261678939
83,2.7122921809199916,60254492.348073006,1059053.9445067677
84,2.752398847235539,63219375.76538902,1111165.768135992
85,2.7910623449141667,61501658.995258845,1080974.5798932458
86,2.8302108780542063,59512533.10871438,1046013.0104869971
87,2.8710853126823417,54182426.55989595,952329.201277242
88,2.912889576504234,53032094.285338245,932110.5605520624
89,2.9554793022226704,53887129.433565035,947138.9561311095
90,2.999644938880472,49566916.00580442,871205.3801688302
91,3.045275698729622,47905667.85009996,842006.7039615836
92,3.09169312370497,45421066.900945775,798336.4922780036
93,3.1391855179094135,43224392.931215584,759726.9854714542
94,3.1876556067556447,42518827.17564024,747325.7159987248
95,3.2373356358281686,40032143.02076374,703618.8891657765
96,3.2884139596996134,39561641.46380277,695349.1899221478
97,3.3414738899880585,36285648.21327134,637769.1915029293
98,3.3955282810573024,36170213.36829745,635740.2684610271
99,3.450028317697679,34944562.415720016,614197.8004170303
100,3.506581966142596,33081724.605464593,581455.9142265238
101,3.56514953570864,29836795.901137773,524421.9170913631
102,3.6257236954551413,29314878.38764482,515248.51308724575
103,3.687426783122253,28338886.38757238,498094.1377501706
104,3.7504969602168194,27200773.72624213,478090.2732032403
105,3.814736852736238,26907427.782503374,472934.322721956
106,3.8806183892006976,24638148.554140367,433048.68060083414
107,3.948003924584221,24730205.68391975,434666.7087778808
108,4.01439292887867,24672798.811456595,433657.7055923143
109,4.081766960497221,22311523.506280594,392155.1083823481
110,4.1522165580235,21900339.206850644,384927.98991763714
111,4.223767539752057,21273109.291127425,373903.5784509863
112,4.296248294262248,19558733.240301814,343771.1078543294
113,4.370389563087162,19156976.9779171,336709.6998525668
114,4.446660494153734,17911856.29756304,314825.02509174636
