,Radius,Density,Uncertainty
0,0.031933632499557,1335604601.1740608,504811089.231453
1,0.08190333283105694,471685614.7744609,178280404.81426248
2,0.10991472269973937,479879535.5997602,181377415.78087604
3,0.13112307197728465,260964490.67561352,98635306.19232966
4,0.14805845688909047,463688192.7323447,175257663.40668163
5,0.16067768290715495,324543410.4691994,122665879.10660827
6,0.17199969238850968,444888825.96701026,168152170.65431482
7,0.1882475635226528,120677572.70718452,45611835.1723037
8,0.20550516396021212,253528956.5635431,95824938.46011883
9,0.21977434074729837,135524616.37682363,51223490.20864383
10,0.2320729086089019,312596936.4276006,118150536.34115697
11,0.24248174251569526,141576006.65521562,53510700.746189415
12,0.25574228100081325,140801225.5504497,53217861.01422906
13,0.26782245715263636,139751364.41151276,52821050.80211789
14,0.28193153875844024,87613402.25509548,33114753.411892604
15,0.29281662481812365,233297901.65273333,88178318.45233387
16,0.2999618716475385,123153433.807145,46547622.70819431
17,0.3081840334312457,167865875.19921538,63447337.05590414
18,0.31469415668897766,203815637.54577085,77035070.03602694
19,0.32180845095140376,115776488.45661609,43759399.44636378
20,0.33356197439853214,69369194.45926824,26219091.026871923
21,0.34380544044826455,179624938.82513893,67891845.3423583
22,0.35017983218612536,129803615.67759764,49061155.19427545
23,0.3582655684403707,101693503.52712904,38436531.469093315
24,0.3668520662459333,103980251.89998923,39300841.11274613
25,0.3742574240630117,126940254.43920967,47978906.372773096
26,0.380296589738806,144351354.3613775,54559683.57936626
27,0.38709795667138625,96179859.97131734,36352570.088160224
28,0.3943910599272983,114030822.37699834,43099599.68653097
29,0.4006080432844869,122590372.5523805,46334805.55776533
30,0.4077318504604207,72738758.30144078,27492666.448749613
31,0.4141959764763117,147746878.3837351,55843071.02706682
32,0.42377799349643286,44265573.07600462,16730814.000123521
33,0.4353934228711729,70790211.61196132,26756185.026126638
34,0.4410577922928235,195113519.64101344,73745978.62809114
35,0.44462238623684863,132048060.14080128,49909475.463008694
36,0.4501625387321814,74971492.06012438,28336560.487220373
37,0.4586875198755074,46423558.40662349,17546455.788372528
38,0.46704704004190034,84310430.29732512,31866347.35650967
39,0.4728795671605105,96790166.25976618,36583244.18284801
