,0
99positionX,0.0013596366763393016
99positionY,0.0014518143688356765
99positionZ,0.0014980046701570497
99gas_mass,0.0019213841696746824
99dm_mass,0.003239710023067985
99stellar_mass,0.053950820588622356
99bh_mass,0.00262900961388675
99spinX,0.0018228347771389345
99spinY,0.0013344179679644775
99spinZ,0.0016328128285323569
99vel_dispersion,0.002607604968254622
99v_max,0.007385966954808539
99bh_dot,0.0012088053856927914
99sfr,0.001382052715314038
99fof_mass,0.001811736787924708
99fof_distance,0.004397253647921507
89positionX,0.0023726757473008834
89positionY,0.0013554352187153714
89positionZ,0.0012084605402935187
89gas_mass,0.0013602124427862512
89dm_mass,0.002411189606507174
89stellar_mass,0.04672029250002831
89bh_mass,0.0008451907431946666
89spinX,0.0013108153248738244
89spinY,0.0014101733586149674
89spinZ,0.0015173447705732759
89vel_dispersion,0.0026600790419337664
89v_max,0.007661378613417692
89bh_dot,0.006643893786973645
89sfr,0.0009492722461948037
89fof_mass,0.0017068357402424713
89fof_distance,0.002462470307069381
79positionX,0.0013201270163471098
79positionY,0.0009484017846316934
79positionZ,0.0015381691416338902
79gas_mass,0.0007939662716544495
79dm_mass,0.0017451140046421906
79stellar_mass,0.03917999003948054
79bh_mass,0.004302909595918673
79spinX,0.0011819848424249025
79spinY,0.0014453332526441643
79spinZ,0.0017702932202734198
79vel_dispersion,0.02206624597092606
79v_max,0.008871773762499369
79bh_dot,0.0027757711629774256
79sfr,0.0009992052263922573
79fof_mass,0.0019635788125646593
79fof_distance,0.0024585706488210405
69positionX,0.0014997913421550997
69positionY,0.0008551993431005227
69positionZ,0.0018272978182020166
69gas_mass,0.0007269928466107807
69dm_mass,0.0016864474495176755
69stellar_mass,0.022697532315040497
69bh_mass,0.0027931386370667857
69spinX,0.0012699792503272729
69spinY,0.0013073816774759421
69spinZ,0.001870578890550685
69vel_dispersion,0.005494469198021867
69v_max,0.008254821116738722
69bh_dot,0.00036896969118009663
69sfr,0.001537270437678272
69fof_mass,0.002098017473956316
69fof_distance,0.002052189301539779
59positionX,0.0011023548999129784
59positionY,0.0009285140873159125
59positionZ,0.001245224524158832
59gas_mass,0.0011417396431385072
59dm_mass,0.0017479791278132786
59stellar_mass,0.01695247166040623
59bh_mass,0.003138647821302408
59spinX,0.001303137941543475
59spinY,0.001217570686760345
59spinZ,0.0014895802555690999
59vel_dispersion,0.004091957503805271
59v_max,0.009376742649957947
59bh_dot,0.0014110286625814553
59sfr,0.0014546602923679198
59fof_mass,0.002356200040581644
59fof_distance,0.0021959251737440396
49positionX,0.0011961037162831383
49positionY,0.001096257960806362
49positionZ,0.0015204047649798687
49gas_mass,0.000916283981600575
49dm_mass,0.0015702590822233911
49stellar_mass,0.007772357004775573
49bh_mass,0.002309099629871607
49spinX,0.0016442249227118053
49spinY,0.001747614370808922
49spinZ,0.0016300350864124913
49vel_dispersion,0.001962930409764287
49v_max,0.004790373566939778
49bh_dot,0.003046165762243052
49sfr,0.012218390383357057
49fof_mass,0.0030069959032470854
49fof_distance,0.010168945556860267
39positionX,0.0011546413145831042
39positionY,0.001272262831329676
39positionZ,0.001130423417783235
39gas_mass,0.002991379461086733
39dm_mass,0.0014280717727493336
39stellar_mass,0.008039534190547296
39bh_mass,0.0030673017207581226
39spinX,0.002380364848554103
39spinY,0.008434910506748739
39spinZ,0.0023474959621170295
39vel_dispersion,0.0014334611168269871
39v_max,0.0026333980291605415
39bh_dot,0.0020343034990408415
39sfr,0.010730218582476556
39fof_mass,0.005138168557843483
39fof_distance,0.002252837827830187
29positionX,0.0013420790390250375
29positionY,0.0017844743672449156
29positionZ,0.0013354019762102521
29gas_mass,0.0037500915991312686
29dm_mass,0.0018384616808931951
29stellar_mass,0.0020819743487043626
29bh_mass,0.006716642206529703
29spinX,0.0015839287955546635
29spinY,0.0014147865858979928
29spinZ,0.0014732960133210433
29vel_dispersion,0.0011561588739214573
29v_max,0.001971746248006581
29bh_dot,0.008193894319738054
29sfr,0.002284907542470441
29fof_mass,0.002696903290758888
29fof_distance,0.0018475994342276863
19positionX,0.001347662613433072
19positionY,0.001430795020611333
19positionZ,0.0020710658023601297
19gas_mass,0.0023448774864545355
19dm_mass,0.0029335083673255728
19stellar_mass,0.0010012130030394425
19bh_mass,0.0002897637563995101
19spinX,0.0020225671339749074
19spinY,0.0016352197302636207
19spinZ,0.0017601857201757808
19vel_dispersion,0.0015870751864790415
19v_max,0.0023419815366776263
19bh_dot,0.0001905935621272239
19sfr,0.0007618751375037741
19fof_mass,0.003248304259948721
19fof_distance,0.0021508495448662526
9positionX,0.002178583649353556
9positionY,0.0012114821052522703
9positionZ,0.0010775119379498345
9gas_mass,0.0013710213728109519
9dm_mass,0.0015694890821833828
9stellar_mass,0.000749959312437133
9bh_mass,4.489631237908317e-05
9spinX,0.0024573070476657747
9spinY,0.001577337344322371
9spinZ,0.0020115004798877617
9vel_dispersion,0.0011273414966310243
9v_max,0.0012121176177107985
9bh_dot,3.15458239733089e-08
9sfr,0.001018847312244505
9fof_mass,0.002412199482993502
9fof_distance,0.0012058173968302176
99positionX_DMO,0.0012658238565849995
99positionY_DMO,0.00235688348035753
99positionZ_DMO,0.001433588511773211
99dm_mass_DMO,0.0014308366845637165
99spinX_DMO,0.0011813832322495645
99spinY_DMO,0.001707038755648777
99spinZ_DMO,0.001321030773642854
99vel_dispersion_DMO,0.001196688102150005
99v_max_DMO,0.0015931025101952778
89positionX_DMO,0.0009422150379771862
89positionY_DMO,0.001277449210456941
89positionZ_DMO,0.0015307748541941802
89dm_mass_DMO,0.0026697003558290872
89spinX_DMO,0.0012149633722922293
89spinY_DMO,0.0015068593509296648
89spinZ_DMO,0.0011028643349176692
89vel_dispersion_DMO,0.001053846497070139
89v_max_DMO,0.0009917199585008922
79positionX_DMO,0.0009322164003634728
79positionY_DMO,0.0013368809519540112
79positionZ_DMO,0.0011998783900320127
79dm_mass_DMO,0.0011961546206266688
79spinX_DMO,0.0030026331339222667
79spinY_DMO,0.0019163362043406612
79spinZ_DMO,0.0012086938516396451
79vel_dispersion_DMO,0.0008515065153050584
79v_max_DMO,0.0007809073631462488
69positionX_DMO,0.0009294357818682213
69positionY_DMO,0.0010540995179605728
69positionZ_DMO,0.0010578901129349608
69dm_mass_DMO,0.0013413276454395688
69spinX_DMO,0.0014014370942939433
69spinY_DMO,0.0015480349421657144
69spinZ_DMO,0.0015358901190587987
69vel_dispersion_DMO,0.0010456248529278212
69v_max_DMO,0.0006750114176189704
59positionX_DMO,0.001131308135711736
59positionY_DMO,0.0010480408934261784
59positionZ_DMO,0.0009627322101972954
59dm_mass_DMO,0.001220364595307247
59spinX_DMO,0.0017418021993751338
59spinY_DMO,0.001686711340763693
59spinZ_DMO,0.001275302535038943
59vel_dispersion_DMO,0.0008844829700844578
59v_max_DMO,0.0006380588561862222
49positionX_DMO,0.0008800642765156466
49positionY_DMO,0.0010790341630738246
49positionZ_DMO,0.0011735712151498129
49dm_mass_DMO,0.0009735245409631742
49spinX_DMO,0.0019204357965006632
49spinY_DMO,0.0021886585394852963
49spinZ_DMO,0.0014022725248820172
49vel_dispersion_DMO,0.0010160882524174438
49v_max_DMO,0.0009238370311717472
39positionX_DMO,0.0011501219269764798
39positionY_DMO,0.0009432920046561632
39positionZ_DMO,0.0008945099651197194
39dm_mass_DMO,0.000994494473774442
39spinX_DMO,0.0013442658983575547
39spinY_DMO,0.0015904252201290145
39spinZ_DMO,0.0015324831201882058
39vel_dispersion_DMO,0.0010387541619383944
39v_max_DMO,0.0010028148559858227
29positionX_DMO,0.0010404676326649872
29positionY_DMO,0.0010880415596695955
