,0
99gas_mass,0.006036326763640419
99dm_mass,0.058666443608069295
99stellar_mass,0.0007583302607452789
99bh_mass,2.161169910710351e-05
99spinX,0.002777646204115929
99spinY,0.002817889868230155
99spinZ,0.002808344496576737
99vel_dispersion,0.01965257767470347
99v_max,0.1392580884481496
99bh_dot,6.881583779456117e-05
99sfr,0.00021126591812657388
99fof_mass,0.013919930916783512
99fof_distance,0.00937551561665529
89gas_mass,0.011131083810590553
89dm_mass,0.025349283573554187
89stellar_mass,0.00638115982641598
89bh_mass,1.7740095033140736e-05
89spinX,0.0022934307826505303
89spinY,0.0023073476676969988
89spinZ,0.0023053701121782556
89vel_dispersion,0.004265025347825529
89v_max,0.007305012163959688
89bh_dot,6.309042034637828e-05
89sfr,0.0001124824693988489
89fof_mass,0.006919366168869856
89fof_distance,0.006704999873318945
79gas_mass,0.0006356191878156534
79dm_mass,0.007226680945972357
79stellar_mass,0.0004481323270964226
79bh_mass,8.715523682350783e-06
79spinX,0.002143528515281502
79spinY,0.002174967427060176
79spinZ,0.0021505367481809714
79vel_dispersion,0.003775675761245304
79v_max,0.005958873242610024
79bh_dot,3.899579569559143e-05
79sfr,0.00013493682005372571
79fof_mass,0.004973842484838953
79fof_distance,0.005485090917571996
69gas_mass,0.0005918566899214608
69dm_mass,0.010346944414151881
69stellar_mass,0.00048011229265096405
69bh_mass,1.066432467966057e-05
69spinX,0.0022093911911234224
69spinY,0.002235481783835866
69spinZ,0.0021928626555534764
69vel_dispersion,0.003015408973557335
69v_max,0.004224735095981151
69bh_dot,2.749479405275e-05
69sfr,0.00016656327077193157
69fof_mass,0.003983609629026107
69fof_distance,0.004273752292086439
59gas_mass,0.0005838974198387629
59dm_mass,0.008606854631614522
59stellar_mass,0.0005696190916211666
59bh_mass,9.54182931008225e-06
59spinX,0.0023512377353415268
59spinY,0.002336545099074989
59spinZ,0.0023722157459739623
59vel_dispersion,0.002734834220092369
59v_max,0.0036344932709259613
59bh_dot,1.9759248967322014e-05
59sfr,0.00017869133065508364
59fof_mass,0.004060798538619202
59fof_distance,0.0040946405468155495
49gas_mass,0.0005735667736572757
49dm_mass,0.006408760225527871
49stellar_mass,0.0008407047591849361
49bh_mass,6.0148548341443125e-06
49spinX,0.00257525091776091
49spinY,0.0025969947277122885
49spinZ,0.002593701754776182
49vel_dispersion,0.00254334056815792
49v_max,0.003286440647698415
49bh_dot,1.2475846943944818e-05
49sfr,0.00023702498282534835
49fof_mass,0.0038910259999588503
49fof_distance,0.004933699589350427
39gas_mass,0.0006416523661172765
39dm_mass,0.004798653921650942
39stellar_mass,0.0027529078367353986
39bh_mass,1.9403216859535144e-06
39spinX,0.0029719652837102836
39spinY,0.002944098434039726
39spinZ,0.0029646297380722737
39vel_dispersion,0.0025458085800267828
39v_max,0.004022859514329833
39bh_dot,8.044652195779465e-06
39sfr,0.00030283175254665074
39fof_mass,0.0035321209333150885
39fof_distance,0.004453834840058304
29gas_mass,0.0007716503503150181
29dm_mass,0.003326967542055827
29stellar_mass,0.003169039823475471
29bh_mass,7.053112923530159e-07
29spinX,0.003504741402785722
29spinY,0.003455893479155958
29spinZ,0.003488235214970793
29vel_dispersion,0.0025747282487321066
29v_max,0.006061725333230153
29bh_dot,8.679715936522476e-07
29sfr,0.0003710161908229998
29fof_mass,0.003232176618235013
29fof_distance,0.004123544300202953
19gas_mass,0.0013629611560640683
19dm_mass,0.0027889886823996264
19stellar_mass,0.016416888887884885
19bh_mass,0.0
19spinX,0.003755916695884872
19spinY,0.0036873778994114823
19spinZ,0.003805694323179093
19vel_dispersion,0.002816102410020075
19v_max,0.02285899508765547
19bh_dot,0.0
19sfr,0.0005274447346413406
19fof_mass,0.0044363449643536924
19fof_distance,0.003712456010688484
9gas_mass,0.0032836827332288886
9dm_mass,0.005856683724506477
9stellar_mass,0.0006509392439282002
9bh_mass,0.0
9spinX,0.003205765746596748
9spinY,0.003176315059723116
9spinZ,0.0031804461650629333
9vel_dispersion,0.0026824651282008147
9v_max,0.0034590953931139925
9bh_dot,0.0
9sfr,0.0010166939334435544
9fof_mass,0.31707370929322276
9fof_distance,0.003073569059639228
