,0
99gas_mass,0.006311057902347077
99dm_mass,0.07131259171099738
99stellar_mass,0.0010303969121009645
99bh_mass,0.00010456747831893816
99spinX,0.00245107752155997
99spinY,0.0024064152135693344
99spinZ,0.0024467222040796092
99vel_dispersion,0.025961912934432396
99v_max,0.19895866518468944
99bh_dot,0.0002110687090087203
99sfr,0.00036182863545206295
99fof_mass,0.012719962905025122
99fof_distance,0.009685925436058096
94gas_mass,0.006516494059313484
94dm_mass,0.010229337347268136
94stellar_mass,0.0014145006056907779
94bh_mass,6.129153641022163e-05
94spinX,0.0020748535815413357
94spinY,0.0020887937173884904
94spinZ,0.002131874439535987
94vel_dispersion,0.012219299916628325
94v_max,0.005691402999927537
94bh_dot,0.00016651525919119252
94sfr,0.000206871504164838
94fof_mass,0.006425125765599812
94fof_distance,0.005421516826660786
89gas_mass,0.017228618118923067
89dm_mass,0.036674212049685295
89stellar_mass,0.00144503478928164
89bh_mass,6.854739548464138e-05
89spinX,0.001971468538935368
89spinY,0.0019747007169809865
89spinZ,0.001983665210625743
89vel_dispersion,0.004612641134335592
89v_max,0.00905045319777214
89bh_dot,0.00018387648949498448
89sfr,0.00017711301593832603
89fof_mass,0.004638239953029297
89fof_distance,0.006085818231413256
84gas_mass,0.0006172651626374402
84dm_mass,0.009413093121694539
84stellar_mass,0.000584439388921926
84bh_mass,9.648149111544314e-05
84spinX,0.001914099597104884
84spinY,0.0019094470711614273
84spinZ,0.0019033892142940954
84vel_dispersion,0.004437472559534998
84v_max,0.009703977712270032
84bh_dot,0.00011220318179473333
84sfr,0.00019313567454509937
84fof_mass,0.008164294275602897
84fof_distance,0.008788401956787996
79gas_mass,0.0006007766345116671
79dm_mass,0.006388509086379508
79stellar_mass,0.0005057202447039059
79bh_mass,4.697171689560849e-05
79spinX,0.0018821666817422662
79spinY,0.0019053067399214503
79spinZ,0.0018629970980878624
79vel_dispersion,0.004050464912920447
79v_max,0.0068926278884405695
79bh_dot,7.829762379483184e-05
79sfr,0.00020296970969206046
79fof_mass,0.003447716323732671
79fof_distance,0.005088677449264565
74gas_mass,0.0006442590535749099
74dm_mass,0.0073071593308971835
74stellar_mass,0.0005240310511665409
74bh_mass,5.9386705511702285e-05
74spinX,0.0019069148051575808
74spinY,0.001913986916964796
74spinZ,0.001902521742650687
74vel_dispersion,0.003596680240373868
74v_max,0.005416959777296971
74bh_dot,8.217929356585031e-05
74sfr,0.0002508814202704612
74fof_mass,0.0038745610880727313
74fof_distance,0.004735811535045943
69gas_mass,0.0006296309866914165
69dm_mass,0.009673506047672979
69stellar_mass,0.0008939745413243666
69bh_mass,0.00014573113783634503
69spinX,0.001978701146267463
69spinY,0.001994411729041755
69spinZ,0.0019746421083569835
69vel_dispersion,0.0033926118837678807
69v_max,0.005109148858831275
69bh_dot,6.92662981884701e-05
69sfr,0.00020240830817720655
69fof_mass,0.0035050511750496878
69fof_distance,0.004401169922786969
64gas_mass,0.0009554852200292066
64dm_mass,0.009431661337881163
64stellar_mass,0.0007445360488203567
64bh_mass,8.875380703397058e-05
64spinX,0.0020682790414762882
64spinY,0.0020652586282828016
64spinZ,0.0020531077223997747
64vel_dispersion,0.00320242167768133
64v_max,0.0049229427121265015
64bh_dot,9.745605670266892e-05
64sfr,0.00023350426993197672
64fof_mass,0.00380681601724527
64fof_distance,0.004375262275263451
59gas_mass,0.0013263758972971694
59dm_mass,0.010228997144850007
59stellar_mass,0.0010452842176735967
59bh_mass,0.0002388130928823045
59spinX,0.0021750372516974445
59spinY,0.002185545841004514
59spinZ,0.0022425564605655576
59vel_dispersion,0.003183522943358513
59v_max,0.005129899803342325
59bh_dot,6.611810492766231e-05
59sfr,0.00024790960986775204
59fof_mass,0.003972255525626726
59fof_distance,0.004312099591166497
54gas_mass,0.0010412527072821145
54dm_mass,0.009713061023425902
54stellar_mass,0.0024047401973256765
54bh_mass,0.00019670016269537446
54spinX,0.0024380157077407883
54spinY,0.0023896978394182234
54spinZ,0.0023900343942755207
54vel_dispersion,0.0032519175819455855
54v_max,0.02079500673594641
54bh_dot,8.078144787553916e-05
54sfr,0.00028068039669627604
54fof_mass,0.004030243728689435
54fof_distance,0.005326175634137195
49gas_mass,0.0014981253715355596
49dm_mass,0.00812624102162293
49stellar_mass,0.2357259320344922
49bh_mass,0.00040278205882166127
49spinX,0.0028799768181843937
49spinY,0.002841425751201557
49spinZ,0.0028664098472557784
49vel_dispersion,0.003246134950322341
49v_max,0.020731474627562984
49bh_dot,6.051904108071333e-05
49sfr,0.00034682106528284194
49fof_mass,0.0050012672005887784
49fof_distance,0.02372179118407015
