,0
99gas_mass,0.0011663202357065294
99dm_mass,0.011374643872772589
99stellar_mass,0.08568064607987241
99bh_mass,0.0004651580493331424
99spinX,0.0037717450302240294
99spinY,0.0037376605080101316
99spinZ,0.004111855108943262
99vel_dispersion,0.024620749753523574
99v_max,0.03205269266995024
99bh_dot,4.162022172383638e-05
99sfr,0.0007081321511052925
99fof_mass,0.005108205955024726
99fof_distance,0.01395911180871725
89gas_mass,0.0006576560794403549
89dm_mass,0.0057882306405014974
89stellar_mass,0.0007689618160995441
89bh_mass,3.25101957195459e-05
89spinX,0.003245976336217517
89spinY,0.0031621667551064146
89spinZ,0.0032872314160424495
89vel_dispersion,0.0065379640539013585
89v_max,0.005235600723202286
89bh_dot,4.673361013563079e-05
89sfr,0.00024104173085490201
89fof_mass,0.004227396665738379
89fof_distance,0.006594850544198293
79gas_mass,0.0005711896854470352
79dm_mass,0.0040542214487403
79stellar_mass,0.0004252945048782309
79bh_mass,7.54679158366314e-06
79spinX,0.003154853621571089
79spinY,0.0031512107536785525
79spinZ,0.0031465656368704635
79vel_dispersion,0.0050852712086885
79v_max,0.004721149420768756
79bh_dot,3.334662686415923e-05
79sfr,0.00022571194160045588
79fof_mass,0.004275418068866017
79fof_distance,0.008065733643849198
69gas_mass,0.00047823062606595733
69dm_mass,0.003753747171623286
69stellar_mass,0.0004132057838123191
69bh_mass,2.963875675560104e-06
69spinX,0.0031252800880599706
69spinY,0.003131777441954695
69spinZ,0.0031436485248922588
69vel_dispersion,0.004750251048277031
69v_max,0.004083653097546859
69bh_dot,2.091877693632799e-05
69sfr,0.0002509246736350239
69fof_mass,0.004109446757403138
69fof_distance,0.006078764459681076
59gas_mass,0.000520048168869995
59dm_mass,0.003926037093977576
59stellar_mass,0.0003591429281341049
59bh_mass,2.079714518862231e-06
59spinX,0.0032727167874726662
59spinY,0.0033454499051411737
59spinZ,0.00333449225047588
59vel_dispersion,0.004096813618220557
59v_max,0.0036884266640752387
59bh_dot,1.3250481170387927e-05
59sfr,0.00027930012224951906
59fof_mass,0.004270759688259912
59fof_distance,0.005778565805049272
49gas_mass,0.0005461681181706242
49dm_mass,0.0037908215511316574
49stellar_mass,0.00034962319982691556
49bh_mass,1.337090309364606e-06
49spinX,0.0036500766918159022
49spinY,0.0037295989550958845
49spinZ,0.00363472851734513
49vel_dispersion,0.003829890254136306
49v_max,0.003464724892739787
49bh_dot,1.1239624416691479e-05
49sfr,0.00024278535112829002
49fof_mass,0.004078046078280585
49fof_distance,0.005823667513086262
39gas_mass,0.0007113871003256968
39dm_mass,0.003828176588669756
39stellar_mass,0.0003765103000070686
39bh_mass,1.1959416021469164e-06
39spinX,0.004213377639559133
39spinY,0.0042721314328952684
39spinZ,0.004235770895345886
39vel_dispersion,0.0036497196124444424
39v_max,0.003452816605306732
39bh_dot,3.005340873187917e-06
39sfr,0.00026662951488415267
39fof_mass,0.004049627855491807
39fof_distance,0.005738866635225224
29gas_mass,0.0008315216162041376
29dm_mass,0.0033374913615717393
29stellar_mass,0.0004579880215701417
29bh_mass,2.0415581532727795e-07
29spinX,0.005046993198912879
29spinY,0.004845457478915587
29spinZ,0.005028406590178407
29vel_dispersion,0.0035269712327837014
29v_max,0.0034286265022854855
29bh_dot,1.9591908949843013e-07
29sfr,0.00029675476947953964
29fof_mass,0.003970421234703697
29fof_distance,0.005954117678848561
19gas_mass,0.0013237488886060165
19dm_mass,0.0026733103725641374
19stellar_mass,0.0006805614673779033
19bh_mass,0.0
19spinX,0.005570109615657325
19spinY,0.005452788897711553
19spinZ,0.005758371997696387
19vel_dispersion,0.0031179432569628756
19v_max,0.0031494347070409167
19bh_dot,0.0
19sfr,0.0005359016197417584
19fof_mass,0.0034867834616343647
19fof_distance,0.0058597283646473555
9gas_mass,0.003127203750726411
9dm_mass,0.0019066757595490186
9stellar_mass,0.000600598287671731
9bh_mass,0.0
9spinX,0.00471822788144334
9spinY,0.004713116713105908
9spinZ,0.0048873638020003685
9vel_dispersion,0.0024048064432700103
9v_max,0.0024202958079798604
9bh_dot,0.0
9sfr,0.0012403929723245998
9fof_mass,0.016571797934695164
9fof_distance,0.004362922912766946
99dm_mass_DMO,0.020859679515653554
99spinX_DMO,0.0050359248716906144
99spinY_DMO,0.004677509646060986
99spinZ_DMO,0.00508393935025652
99vel_dispersion_DMO,0.028182334342245183
99v_max_DMO,0.04078852233095344
89dm_mass_DMO,0.008601826133336741
89spinX_DMO,0.003624992194298324
89spinY_DMO,0.0035973470337727007
89spinZ_DMO,0.0035791466635248436
89vel_dispersion_DMO,0.006807220748484687
89v_max_DMO,0.005643068016388966
79dm_mass_DMO,0.0049879296670896425
79spinX_DMO,0.0031497914066198887
79spinY_DMO,0.0031834927056994325
79spinZ_DMO,0.003284559807919195
79vel_dispersion_DMO,0.005704843819477605
79v_max_DMO,0.00482258375816382
69dm_mass_DMO,0.004471204295043724
69spinX_DMO,0.0031001681769332223
69spinY_DMO,0.003065959902077031
69spinZ_DMO,0.0031501020206854986
