,0
99gas_mass,0.01694982048117747
99stellar_mass,0.0008915996819660821
99bh_mass,2.6785619418916192e-05
99spinX,0.003464029918998891
99spinY,0.0035298070176618046
99spinZ,0.003540607472831831
99vel_dispersion,0.026787696222739056
99v_max,0.1248732702326748
99bh_dot,8.758157921470852e-05
99sfr,0.00025311086631364557
99fof_mass,0.04251913491249626
99fof_distance,0.012525646267442025
89gas_mass,0.011835034904012512
89stellar_mass,0.006636415403474358
89bh_mass,1.99006561740308e-05
89spinX,0.002766569398324403
89spinY,0.0027299570877344385
89spinZ,0.002752128790376054
89vel_dispersion,0.005376929606234995
89v_max,0.006493387231116331
89bh_dot,8.615637458752103e-05
89sfr,0.00013068410215652182
89fof_mass,0.030465063901636988
89fof_distance,0.011666121174322183
79gas_mass,0.000831294786503721
79stellar_mass,0.0005074409726228929
79bh_mass,9.780327022949411e-06
79spinX,0.002507640962546848
79spinY,0.002549482559897007
79spinZ,0.0025289969750894093
79vel_dispersion,0.004333229267581597
79v_max,0.005858371743980954
79bh_dot,4.1255255529818886e-05
79sfr,0.00014055954461490993
79fof_mass,0.010335382267570706
79fof_distance,0.007818774762724006
69gas_mass,0.0008134845372944172
69stellar_mass,0.0005715978390430805
69bh_mass,1.3805874879957452e-05
69spinX,0.002565880544461116
69spinY,0.002589428134212408
69spinZ,0.0025624482966799525
69vel_dispersion,0.0039436949924937185
69v_max,0.004758154764338026
69bh_dot,2.9851676923123183e-05
69sfr,0.00018480774196469264
69fof_mass,0.009255182416528488
69fof_distance,0.0057581299996305344
59gas_mass,0.0007854063754715204
59stellar_mass,0.0006417072113200559
59bh_mass,1.0609369238512798e-05
59spinX,0.0027099952112951096
59spinY,0.0027332787720279416
59spinZ,0.0027674657791574788
59vel_dispersion,0.0034744249857768714
59v_max,0.004368770630360905
59bh_dot,2.2893768592683604e-05
59sfr,0.0001847669568806653
59fof_mass,0.011104144080759102
59fof_distance,0.005813559812341988
49gas_mass,0.000710913101607304
49stellar_mass,0.0010753759215164276
49bh_mass,5.966624692000462e-06
49spinX,0.00302568452061462
49spinY,0.0030337708413767277
49spinZ,0.0030299525371649733
49vel_dispersion,0.003277514693678843
49v_max,0.0040670976522635014
49bh_dot,1.4345669581317057e-05
49sfr,0.00025747955630902035
49fof_mass,0.007690980447546459
49fof_distance,0.007497950458634999
39gas_mass,0.0007773407510184197
39stellar_mass,0.003002788120423486
39bh_mass,2.372973903828677e-06
39spinX,0.0034663824720487274
39spinY,0.0034657260842671372
39spinZ,0.0034764437068528268
39vel_dispersion,0.003296794409349201
39v_max,0.006461995455905688
39bh_dot,8.29167194789262e-06
39sfr,0.00033491180789871366
39fof_mass,0.005929952704719143
39fof_distance,0.006025247363512972
29gas_mass,0.0009778022764828482
29stellar_mass,0.0027270448713801014
29bh_mass,8.204226360009371e-07
29spinX,0.004080848993490094
29spinY,0.00405779364976821
29spinZ,0.0041191349579172256
29vel_dispersion,0.003382890410225453
29v_max,0.007920964477750796
29bh_dot,1.1470831923607984e-06
29sfr,0.00040404721718483104
29fof_mass,0.004535165889696802
29fof_distance,0.005079966566348855
19gas_mass,0.0017770697617221138
19stellar_mass,0.01626192597928091
19bh_mass,0.0
19spinX,0.004404372539651224
19spinY,0.004321350698739268
19spinZ,0.004462980234891307
19vel_dispersion,0.0035732043202170312
19v_max,0.0261188669634645
19bh_dot,0.0
19sfr,0.0006427283559806789
19fof_mass,0.005427350504392048
19fof_distance,0.004495231856787386
9gas_mass,0.004113160772062036
9stellar_mass,0.000829287156953625
9bh_mass,0.0
9spinX,0.003813117037109395
9spinY,0.003770149271342946
9spinZ,0.0038158679234276105
9vel_dispersion,0.0033700296437588614
9v_max,0.004778873195597062
9bh_dot,0.0
9sfr,0.0012383799863481051
9fof_mass,0.32529425544917556
9fof_distance,0.00378186051561479
