,0
99gas_mass,0.009483185211812174
99dm_mass,0.06231134620770067
99stellar_mass,0.0016101863650114048
99bh_mass,0.000104310151993439
99spinX,0.003000067449459857
99spinY,0.003007014692606438
99spinZ,0.0030076858554031667
99vel_dispersion,0.020518797194496063
99v_max,0.14139192095364644
99bh_dot,0.00015915969912953605
99sfr,0.00030956011644812627
99fof_mass,0.014739719008626003
99fof_distance,0.010131350916597946
89gas_mass,0.013134066357723254
89dm_mass,0.027918716925234576
89stellar_mass,0.006580975769431615
89bh_mass,9.120842134804448e-05
89spinX,0.0024392568114507862
89spinY,0.002453741905668552
89spinZ,0.0024680348027549645
89vel_dispersion,0.004504518078160997
89v_max,0.007955308561672897
89bh_dot,0.00015960524636532254
89sfr,0.0001671407470246687
89fof_mass,0.007899917354866065
89fof_distance,0.007564048756259949
79gas_mass,0.0008053596613496505
79dm_mass,0.008020407924064428
79stellar_mass,0.0008276108225537829
79bh_mass,5.2605379997145934e-05
79spinX,0.0022803231235152934
79spinY,0.0023141636240359633
79spinZ,0.002284039711130172
79vel_dispersion,0.004032939440268307
79v_max,0.006678055870866361
79bh_dot,9.362350213884848e-05
79sfr,0.00021445649302562263
79fof_mass,0.005621404141047685
79fof_distance,0.0061905111290845374
69gas_mass,0.0007267450063446845
69dm_mass,0.011240068495993752
69stellar_mass,0.0007066178410152959
69bh_mass,7.668833765906039e-05
69spinX,0.00233606265369316
69spinY,0.002360375267181021
69spinZ,0.002327004571677494
69vel_dispersion,0.0031907995893144317
69v_max,0.004557314918384205
69bh_dot,7.394327429217908e-05
69sfr,0.00026011635330934165
69fof_mass,0.004339111188894598
69fof_distance,0.004486439642253565
59gas_mass,0.0006944837751833513
59dm_mass,0.009211606071517931
59stellar_mass,0.0009454208256955705
59bh_mass,8.728612020744165e-05
59spinX,0.00248489120240306
59spinY,0.0024729912032941236
59spinZ,0.0025050173786825775
59vel_dispersion,0.0028790880666577645
59v_max,0.003943194941394135
59bh_dot,9.179387504048502e-05
59sfr,0.0002605198516770782
59fof_mass,0.004326201528044563
59fof_distance,0.004359810288078696
49gas_mass,0.0006776411063185852
49dm_mass,0.0067831813113958415
49stellar_mass,0.0013181949599149175
49bh_mass,5.213632282809714e-05
49spinX,0.0027241838187833534
49spinY,0.0027447346671726027
49spinZ,0.0027322915678164765
49vel_dispersion,0.0026876459919498606
49v_max,0.0035391391363908064
49bh_dot,4.528089053222713e-05
49sfr,0.0003556505138131975
49fof_mass,0.004129740936168183
49fof_distance,0.005421415341460293
39gas_mass,0.0007447898518104268
39dm_mass,0.005030890730744591
39stellar_mass,0.0038212174473160093
39bh_mass,3.2445789654629464e-05
39spinX,0.003135504536022305
39spinY,0.0030967804288739116
39spinZ,0.0031229787542423585
39vel_dispersion,0.0027025086615296446
39v_max,0.004567705830103981
39bh_dot,5.248974752559478e-05
39sfr,0.0004498397139651557
39fof_mass,0.003742304768956447
39fof_distance,0.0048282607664377345
29gas_mass,0.0009059288905728172
29dm_mass,0.003508210473596123
29stellar_mass,0.005715382883458307
29bh_mass,3.31322466894772e-05
29spinX,0.0036450170774300246
29spinY,0.003600948075186658
29spinZ,0.0036397722520616653
29vel_dispersion,0.0027357974523045878
29v_max,0.007781560526628333
29bh_dot,1.559208162786638e-05
29sfr,0.0005239070775821844
29fof_mass,0.0035605878914551775
29fof_distance,0.004303968130002454
19gas_mass,0.0032076574473323045
19dm_mass,0.0031397046201874124
19stellar_mass,0.016240793071564185
19bh_mass,7.76275642716982e-06
19spinX,0.003924598967750231
19spinY,0.003855128371391087
19spinZ,0.003996113042402001
19vel_dispersion,0.003000139254067208
19v_max,0.02502634425076249
19bh_dot,6.151343584267234e-06
19sfr,0.0007030654000101637
19fof_mass,0.005473955443052704
19fof_distance,0.0038896587735435272
9gas_mass,0.003467874979162593
9dm_mass,0.009165298417309706
9stellar_mass,0.0007797535660288544
9bh_mass,8.858048594684497e-08
9spinX,0.0033541631635285885
9spinY,0.003322185093692253
9spinZ,0.00333741312967782
9vel_dispersion,0.002877678589653278
9v_max,0.003757081658437048
9bh_dot,2.4155805538620524e-07
9sfr,0.0011276380171087697
9fof_mass,0.3211182293323892
9fof_distance,0.0032425858702126663
