,0
99gas_mass,0.005491482884252256
99dm_mass,0.0688568499589777
99stellar_mass,0.0012760235717890944
99bh_mass,9.662020036306484e-05
99spinX,0.0023053938404809637
99spinY,0.002269110909240594
99spinZ,0.00230449921226187
99vel_dispersion,0.024420749336901634
99v_max,0.19543898498591966
99bh_dot,0.00015227337015248003
99sfr,0.00029515891473916344
99fof_mass,0.011668409544149343
99fof_distance,0.008981657648413235
94gas_mass,0.005785847119260229
94dm_mass,0.009509964543375193
94stellar_mass,0.0009831644166803496
94bh_mass,5.745552435263238e-05
94spinX,0.0019649862779629627
94spinY,0.001974294647031818
94spinZ,0.0020023371857130737
94vel_dispersion,0.01172515051335028
94v_max,0.005408980983621635
94bh_dot,0.00012331071449399477
94sfr,0.00016225777779195293
94fof_mass,0.005848227898993904
94fof_distance,0.005517817905073385
89gas_mass,0.010928747258179519
89dm_mass,0.03151772239160104
89stellar_mass,0.0013722152439108158
89bh_mass,8.225467030521054e-05
89spinX,0.0018597299372810263
89spinY,0.0018556819765648772
89spinZ,0.0018745836955089698
89vel_dispersion,0.0043925097646623085
89v_max,0.008486021727139817
89bh_dot,0.0001264576100899922
89sfr,0.00014131533415005898
89fof_mass,0.004295572688610949
89fof_distance,0.005381079953564929
84gas_mass,0.0005349901799985913
84dm_mass,0.008487220221478483
84stellar_mass,0.0005945619625895516
84bh_mass,9.200117039882679e-05
84spinX,0.0018103817328674768
84spinY,0.0018100414331655241
84spinZ,0.0018011618228883082
84vel_dispersion,0.0042462176394576735
84v_max,0.009036791500334656
84bh_dot,7.96892970794861e-05
84sfr,0.00015911125366220618
84fof_mass,0.009824439339950817
84fof_distance,0.007543391095825496
79gas_mass,0.0005781108735960806
79dm_mass,0.005630118803459915
79stellar_mass,0.0008502779115342726
79bh_mass,4.372777522465565e-05
79spinX,0.001775177327490414
79spinY,0.0017941141742192953
79spinZ,0.0017640470957334755
79vel_dispersion,0.0038550176338534156
79v_max,0.006478644239887003
79bh_dot,5.777492118329106e-05
79sfr,0.00015910527670071398
79fof_mass,0.0033101829241552563
79fof_distance,0.004838131331129753
74gas_mass,0.0006372736082622012
74dm_mass,0.006605994129607015
74stellar_mass,0.000734080014995523
74bh_mass,6.0754804394633884e-05
74spinX,0.001800933277797513
74spinY,0.001808412643492871
74spinZ,0.0018071019503564758
74vel_dispersion,0.0034495795385295555
74v_max,0.005119626222445828
74bh_dot,6.0308626613235826e-05
74sfr,0.00019491380879671467
74fof_mass,0.00357418235776207
74fof_distance,0.004520814649246963
69gas_mass,0.0005600607321326986
69dm_mass,0.0087165755097106
69stellar_mass,0.0016617064909381174
69bh_mass,0.00014549598729012524
69spinX,0.0018648705412516065
69spinY,0.0018820572518785544
69spinZ,0.0018692922207640785
69vel_dispersion,0.0032583744095122974
69v_max,0.00482615924486625
69bh_dot,5.308183042458256e-05
69sfr,0.00016821182530483964
69fof_mass,0.0034038488282297536
69fof_distance,0.004211742184911532
64gas_mass,0.0007965189757189094
64dm_mass,0.008525303089557717
64stellar_mass,0.0008898614331570437
64bh_mass,0.00011295456812591521
64spinX,0.00195668489114302
64spinY,0.00195348513684769
64spinZ,0.0019486444050317217
64vel_dispersion,0.003065670879572081
64v_max,0.00484123815526008
64bh_dot,7.459797270173406e-05
64sfr,0.00019245110543936249
64fof_mass,0.0041796772722500946
64fof_distance,0.004223047185563766
59gas_mass,0.0010299439748761394
59dm_mass,0.009270950283961313
59stellar_mass,0.0012663529286562284
59bh_mass,0.00016518727195289582
59spinX,0.0020684995230762482
59spinY,0.0020723353801733665
59spinZ,0.002126995138984426
59vel_dispersion,0.0030537138196410165
59v_max,0.004860764064601233
59bh_dot,5.261329766811259e-05
59sfr,0.00020320709414166867
59fof_mass,0.0037717443069819273
59fof_distance,0.004162491268893642
54gas_mass,0.0009018316082315201
54dm_mass,0.009005987505924304
54stellar_mass,0.0022523845646983186
54bh_mass,0.00014054020492975825
54spinX,0.002318977707865596
54spinY,0.002269918933753478
54spinZ,0.002278328673260652
54vel_dispersion,0.0031094441015109852
54v_max,0.018004215798618408
54bh_dot,6.761396523675029e-05
54sfr,0.00023168756140907478
54fof_mass,0.0038103232595272127
54fof_distance,0.005195146861429741
49gas_mass,0.0013322894835280461
49dm_mass,0.007639914507037104
49stellar_mass,0.2307697181763985
49bh_mass,0.0002579000524908737
49spinX,0.0027508650273429802
49spinY,0.0027110145797804154
49spinZ,0.002734803654164135
49vel_dispersion,0.003094306763593906
49v_max,0.019624638259661962
49bh_dot,4.786946926811958e-05
49sfr,0.0002930902874099696
49fof_mass,0.004723437951020161
49fof_distance,0.020484033853638454
