Halo Number,DataPoints,Virial Radius,NFW Scale Density,NFW Scale Radius,NFW Scale Density Uncertainty,NFW Scale Radius Uncertainty,NFW ChiSquare,NFW P-Value,Einasto Scale Density,Einasto Scale Radius,Einasto Scale Density Uncertainty,Einasto Scale Radius Uncertainty,Einasto ChiSquare,Einasto P-Value
54,51,12.527489977842242,1018605005.7749921,0.728492053312831,469704994.18184286,0.1302489969813948,14521.239702358602,0.0,951102.2378668275,7.022422041714473,368116.89437162515,1.0204396623643681,13584.030999502726,0.0
56,51,21.378723614565686,229965156.24541822,1.635154658795293,65827540.80131962,0.18518989332592903,10289.890903683612,0.0,190180.0735741143,16.226905236398824,53376.345609058604,1.77475394467467,11099.728424576817,0.0
57,51,36.35040261564525,31937079.654683568,3.7400170227235288,2613555.7826705547,0.12436710730207538,772.1195430027019,9.375527478781111e-134,22022.008762112528,40.100450614058026,1304.2651479997583,0.9709488104130554,390.03690628671865,5.457465623346738e-57
60,51,28.21922729937299,209510560.44114015,1.7714295200951709,57486282.27599525,0.1900326465487491,10570.78216132215,0.0,173358.02893765306,17.675158364988558,43945.109722825284,1.7138323677799117,10820.106059500798,0.0
62,51,31.321488668397254,39686801.4500199,3.679083135354381,7472596.43010698,0.28388142941484534,6650.936539950528,0.0,28788.969765410082,38.231585876801084,6882.4592866405455,3.7668878634594485,9742.675213980092,0.0
63,51,19.505251485488053,102125569.86265326,2.54929665945606,22650234.255176857,0.23394799727093923,7391.883457505763,0.0,75942.40879972349,26.29415038498209,19733.32532666781,2.8467632660810516,9254.733990379369,0.0
65,51,27.25502306192353,106170317.15783432,2.0772614519947594,20995229.18996965,0.16273004244974018,4315.074609358075,0.0,79652.70007743748,21.352612830680606,17841.04759350851,1.8759214036585563,5792.975527935639,0.0
66,51,18.36925667446689,292387935.19432664,1.2485828916356008,90177038.73803987,0.1511303084382855,7537.22371743423,0.0,247008.0782861521,12.322743569446363,72078.46993082762,1.382311346914249,7869.963768691994,0.0
68,51,23.710606013537834,232574246.19422707,1.5381890824542526,55013426.25406504,0.14245077895612612,6112.294532298969,0.0,184003.96084571106,15.551206219048343,44075.13529507588,1.4315949975381757,7077.01616626696,0.0
69,51,29.35709067425682,28141537.846142806,3.523925058398588,3234173.7016658117,0.1665042463962998,1280.4698172519713,8.385532232026617e-239,21273.786466622845,36.204487969859045,3228.1138177172224,2.2709845190287674,2053.2643842539915,0.0
70,51,6.337427868588882,1291390498.9610982,0.5665325694153971,776073673.7426949,0.1353506682162195,14777.038264494706,0.0,1270917.6705482546,5.233596413535882,738623.4606904673,1.1841625044684938,15007.311030301153,0.0
73,51,21.033193381121848,226326089.9610895,1.563859667000857,42969510.4375137,0.11735459101289562,3638.0084869179827,0.0,173826.33424839933,15.985371535916833,34241.1357241958,1.2295813086749057,4345.772958644544,0.0
75,50,30.458822688859804,105985635.47055654,2.385690124371451,10222247.264627842,0.09141368947279942,1258.0139707570997,4.313410994724958e-234,75472.53523471572,25.15884255758222,8702.074409441078,1.145519761320194,1924.1276830132942,0.0
77,50,8.630729049482575,1851261448.0658116,0.42269393243582604,1402775933.6784568,0.12274009235557357,17519.98957494423,0.0,2001918.803570889,3.996087781904865,1127639.8235858488,0.8216111379315439,15844.288408160735,0.0
78,51,20.414130162336257,389504764.88483375,1.2500656042556886,103967576.14461912,0.13009392179655127,7270.325268353233,0.0,316016.8900327508,12.585727961337124,76658.95859359659,1.164268740055785,7303.987825653233,0.0
80,51,23.609502613214133,210270707.4177463,1.5303464500367905,58546901.451226965,0.16671581086605544,8004.557548974781,0.0,173565.78384473224,15.255501985327435,45674.43847268105,1.5388910286438067,8423.70890718839,0.0
