x,y,z,mass
7262.857401507172,24558.846631137654,20818.5329456173,0.015737226681674973
7263.124949775262,24545.654709104303,20817.603554700272,0.015737226681674973
7266.572379857702,24552.105748672995,20823.75255243669,0.015737226681674973
7267.22085745724,24551.59191697415,20824.143532238184,0.015737226681674973
7267.331740347964,24552.091482990265,20823.259389327766,0.015737226681674973
7267.11869497873,24551.54161953383,20823.721701156523,0.015737226681674973
7267.783305325874,24552.2967657134,20822.61330448396,0.015737226681674973
7267.760194662304,24552.444376921983,20823.90835263991,0.015737226681674973
7267.575862979045,24551.80414763756,20823.978567897255,0.015737226681674973
7268.328084469736,24552.26186694106,20825.04293624485,0.015737226681674973
7266.664809054523,24552.00590329238,20823.3758589608,0.015737226681674973
7267.687856012668,24551.036211831455,20823.96904898507,0.015737226681674973
7268.618109693974,24551.786124178216,20823.166748001706,0.015737226681674973
7267.8301990737245,24552.319724232242,20824.406919474353,0.015737226681674973
7267.049341900308,24550.935008432432,20825.09292366462,0.015737226681674973
7267.11820954964,24550.367346116775,20823.40050642646,0.015737226681674973
7268.564380528641,24551.86842450421,20824.258279869766,0.015737226681674973
7267.406875016934,24551.27403132943,20822.92726097297,0.015737226681674973
7267.13369429234,24552.759966188267,20822.377178602055,0.015737226681674973
7268.565417670692,24552.589568408097,20824.173169641497,0.015737226681674973
7267.114916022663,24552.097040708646,20824.77955139094,0.015737226681674973
7268.759874145264,24552.105573385874,20823.59172016897,0.015737226681674973
7267.743310424188,24551.15306421851,20822.95731655675,0.015737226681674973
7266.470548262459,24550.66000676699,20824.423051500555,0.015737226681674973
7268.707884316958,24552.106706140752,20824.59770952887,0.015737226681674973
7267.407204298205,24551.601641671023,20823.29876826345,0.015737226681674973
7267.008281307428,24551.366797523944,20824.966297557163,0.015737226681674973
7265.709336601906,24550.749867499962,20823.197466109938,0.015737226681674973
7267.295290475518,24550.93387971902,20823.31663991789,0.015737226681674973
7266.581440421737,24549.857919283226,20823.408780812068,0.015737226681674973
7266.623619213166,24551.845988128327,20822.885031662954,0.015737226681674973
7266.54930537468,24552.502414865325,20825.93354452938,0.015737226681674973
7268.105688533067,24552.388234593225,20822.1125033217,0.015737226681674973
7265.121244652745,24551.656686547787,20823.961733113665,0.015737226681674973
7267.714304582191,24552.14180423938,20823.75806692535,0.015737226681674973
7265.952269454253,24550.7575500297,20822.510801230317,0.015737226681674973
7268.255342015404,24552.42639336759,20822.850010964434,0.015737226681674973
7265.543145183439,24553.043176741376,20822.86218627485,0.015737226681674973
7268.6691445951865,24553.57734943708,20823.862883622245,0.015737226681674973
7266.979817471987,24553.680013933503,20824.318474666175,0.015737226681674973
7266.713487430984,24552.251152111046,20823.943160109044,0.015737226681674973
7268.307535988934,24551.650457832857,20822.317388407173,0.015737226681674973
7266.576446218661,24552.844492349017,20823.308360200426,0.015737226681674973
7266.95558274755,24553.304663752802,20824.90080304095,0.015737226681674973
7267.499546465542,24552.564459748923,20824.80564790495,0.015737226681674973
7267.528331043413,24553.006209509316,20825.077994809395,0.015737226681674973
7265.659930040546,24552.27088119851,20825.469861421785,0.015737226681674973
7266.752185949679,24553.18727166629,20826.24927591983,0.015737226681674973
7268.026771259062,24552.549827997504,20824.312031268673,0.015737226681674973
7268.200886983786,24551.136984339213,20823.53147673674,0.015737226681674973
7268.2000834617975,24553.374849897995,20822.861802897,0.015737226681674973
7266.907467763886,24553.182471284286,20822.778718051224,0.015737226681674973
7267.604469809061,24551.09611103711,20821.953591205223,0.015737226681674973
7269.738276933541,24551.117542975648,20825.410737301587,0.015737226681674973
7265.9220221422065,24551.46059717625,20823.673172124625,0.015737226681674973
7267.679849042844,24553.190727230598,20823.53181082057,0.015737226681674973
7268.3348530634585,24553.010631888905,20822.89935924358,0.015737226681674973
7265.43566298689,24550.04337488074,20822.263776221076,0.015737226681674973
7265.245140118199,24551.929117209154,20824.281119045,0.015737226681674973
7267.130655035699,24551.98353823791,20821.45938072753,0.015737226681674973
7265.21781455782,24551.24163295103,20823.86458619358,0.015737226681674973
7264.854708377363,24551.057597668983,20824.25382325396,0.015737226681674973
7266.476874371667,24552.30376531942,20820.973134381493,0.015737226681674973
