x,y,z,mass
7343.570691249723,24612.649107968256,21326.201749026397,0.015737226681674973
7339.418944990232,24615.744168853296,21330.197730555366,0.015737226681674973
7333.573538688091,24618.1381722391,21333.93619588121,0.015737226681674973
7344.437611131453,24614.735480515625,21325.361064696233,0.015737226681674973
7340.926397388059,24620.80962324187,21324.100578023084,0.015737226681674973
7339.065771739548,24621.70125700186,21333.78451433905,0.015737226681674973
7338.460795419914,24611.695284175163,21326.279592228006,0.015737226681674973
7339.434188195636,24624.50451224052,21335.06175392826,0.015737226681674973
7335.428940637837,24620.00428967959,21330.551515205723,0.015737226681674973
7336.124262904979,24624.72342142923,21330.75572923983,0.015737226681674973
7335.422555709939,24626.722153846244,21327.53988842161,0.015737226681674973
7347.78085689306,24615.753267237375,21340.05471049208,0.015737226681674973
7346.264024921578,24611.929436624814,21330.166627202343,0.015737226681674973
7350.804172802372,24615.21701766182,21327.286096042917,0.015737226681674973
7351.042972973719,24613.632083262775,21336.705881342357,0.015737226681674973
7334.677169159356,24612.41354893095,21335.47979917601,0.015737226681674973
7339.675138626452,24617.29435125714,21341.31561982055,0.015737226681674973
7350.543254799031,24621.759656377417,21333.982401732603,0.015737226681674973
7333.498652209502,24613.665610167685,21330.421776427418,0.015737226681674973
7343.918478636364,24618.34650374391,21341.440214236834,0.015737226681674973
7341.684214459662,24609.66004679949,21331.097197590705,0.015737226681674973
7341.486010307365,24619.857694717946,21338.22930768764,0.015737226681674973
7347.366461075055,24621.987758357962,21330.431200455627,0.015737226681674973
7345.483607429667,24616.740085026882,21329.150436794498,0.015737226681674973
7342.755033767899,24624.978719774594,21340.299315159948,0.015737226681674973
7335.396391101921,24623.480375028073,21324.231709058364,0.015737226681674973
7338.107054320901,24611.38471645284,21327.559150870202,0.015737226681674973
7340.356975474613,24622.481544022095,21324.374105971066,0.015737226681674973
7339.885822800808,24614.90546762066,21339.037913030417,0.015737226681674973
7337.902836501553,24622.88253813496,21322.189300124366,0.015737226681674973
7333.272953367617,24614.60716404678,21332.402122363026,0.015737226681674973
7347.864040661469,24611.803703819463,21325.520956695094,0.015737226681674973
7337.1075829141355,24621.613888543103,21325.44011767917,0.015737226681674973
7344.042002412436,24611.241178513024,21336.998544147384,0.015737226681674973
7346.814439139826,24624.867562392665,21327.335786178955,0.015737226681674973
7337.244845718533,24625.305387027354,21331.062150318176,0.015737226681674973
7335.184805346286,24624.60333620978,21333.42796891464,0.015737226681674973
7335.821960219525,24620.301887063335,21325.482692764628,0.015737226681674973
7340.916327157383,24612.27894744874,21325.760744072577,0.015737226681674973
7346.3869770049605,24627.35468347252,21336.551685097882,0.015737226681674973
7333.925311574225,24617.113834472002,21332.301321867057,0.015737226681674973
7349.203289040601,24616.107668890014,21326.225606267442,0.015737226681674973
7340.032855990756,24615.905694415764,21332.983832189246,0.015737226681674973
7354.877423066245,24620.885045195948,21330.914775096902,0.015737226681674973
7338.640001486111,24619.899683831038,21323.048600773225,0.015737226681674973
7346.070232700263,24611.99386804654,21329.010730662223,0.015737226681674973
7337.568764946619,24627.38139106095,21328.47484417287,0.015737226681674973
7349.527632474124,24619.53822700146,21340.114145941036,0.015737226681674973
7339.471384591267,24613.84975699128,21325.72403185372,0.015737226681674973
7335.775988511661,24618.787005709524,21326.35083837095,0.015737226681674973
7335.923995040095,24620.354594473778,21331.240233216824,0.015737226681674973
7339.580946251406,24618.44965145268,21332.564404171622,0.015737226681674973
7341.441026491699,24629.100208753433,21326.557087519584,0.015737226681674973
7349.4796316352795,24621.730960046018,21328.15036515911,0.015737226681674973
7333.489935069969,24620.14605368635,21329.73509425954,0.015737226681674973
7342.124334871982,24612.30537162002,21324.594152277346,0.015737226681674973
7353.630750493231,24615.441675241163,21328.032773660772,0.015737226681674973
7350.403484373984,24620.213768816906,21328.393922179534,0.015737226681674973
7339.142424579676,24621.430601219832,21339.64330519,0.015737226681674973
7345.283444742411,24615.024752722602,21334.163624881294,0.015737226681674973
7334.510172019747,24615.717304049194,21337.941134065397,0.015737226681674973
7335.214493667193,24613.712941904432,21326.60544965536,0.015737226681674973
7350.395963314448,24615.894611503798,21331.82512282568,0.015737226681674973
7337.085802389103,24616.80458637279,21331.623822914054,0.015737226681674973
7334.103094640741,24615.717538576755,21335.05724851128,0.015737226681674973
7334.554993196147,24622.35839192502,21338.00510861131,0.015737226681674973
7341.572579366181,24612.813528063933,21327.9445400523,0.015737226681674973
7336.108478035036,24611.874653708022,21330.141160720334,0.015737226681674973
7337.505247960831,24614.03639778184,21324.436139101224,0.015737226681674973
7343.329142237979,24628.52864962012,21325.248982421155,0.015737226681674973
7351.8482876259195,24614.73622708977,21329.37671519625,0.015737226681674973
7346.330296600003,24619.219575596017,21332.10922906424,0.015737226681674973
7351.261488668755,24618.405926323132,21340.224944021127,0.015737226681674973
7345.416994222203,24624.758170772333,21339.199746647522,0.015737226681674973
7343.400718581037,24612.208871526313,21333.844533947737,0.015737226681674973
7343.204630323986,24617.43007374779,21328.07010680435,0.015737226681674973
7342.812897235063,24615.633019623827,21342.801285342553,0.015737226681674973
7349.6351532984145,24623.731456269303,21333.78593869365,0.015737226681674973
7348.391228896638,24609.844159156855,21333.76443522322,0.015737226681674973
7348.007870118228,24619.479307818205,21342.521328371487,0.015737226681674973
7332.7187978901175,24621.980753395477,21329.18613586487,0.015737226681674973
7342.995327112365,24614.72840464765,21343.10791990729,0.015737226681674973
7339.592172667234,24620.7690605789,21334.541413134288,0.015737226681674973
7339.296152207987,24625.726247041723,21331.055024702167,0.015737226681674973
7343.315669215743,24615.82101444247,21322.37892288081,0.015737226681674973
7350.842025500693,24614.972058121893,21338.270148372994,0.015737226681674973
7331.884537519925,24618.090208614976,21334.84131069943,0.015737226681674973
7337.8708685545525,24624.36483302161,21323.001977714808,0.015737226681674973
7346.677633910824,24625.064989298025,21326.975029810194,0.015737226681674973
7343.108030101489,24615.553188946207,21343.40970020306,0.015737226681674973
7343.580645451192,24614.153840254017,21342.467910432588,0.015737226681674973
7349.17778512592,24613.45962358172,21326.659076165033,0.015737226681674973
7348.893101418561,24615.813877680215,21323.99979956716,0.015737226681674973
7348.743634328245,24621.845726105734,21330.84371798632,0.015737226681674973
7347.344564342397,24624.457121417123,21340.628183868608,0.015737226681674973
7343.948639984281,24612.688009124537,21331.065199014774,0.015737226681674973
7342.0436470783825,24614.280954846574,21331.972322464277,0.015737226681674973
7340.075896048495,24610.085312884927,21334.95963036001,0.015737226681674973
7340.265019436563,24609.712245073322,21327.636714147902,0.015737226681674973
7339.8380621724555,24626.740802439483,21338.578885164334,0.015737226681674973
7347.235373389826,24629.399755508242,21333.927380674355,0.015737226681674973
7349.599060049333,24623.078586324955,21324.095596156505,0.015737226681674973
7339.144826913786,24625.431932143114,21327.82436084902,0.015737226681674973
7339.950983290921,24624.432036907656,21329.015620866634,0.015737226681674973
7338.857425394078,24613.516884236276,21340.52479813027,0.015737226681674973
7340.322985499073,24609.865438692657,21326.919458612952,0.015737226681674973
7352.039502046719,24619.61179193696,21339.769878274536,0.015737226681674973
7345.248268722677,24629.54166479574,21337.871387597734,0.015737226681674973
7351.300737814196,24624.16058826661,21338.92327280454,0.015737226681674973
7342.827035587609,24616.187219032203,21323.843020575998,0.015737226681674973
7350.692447605734,24622.17015155798,21337.094720243298,0.015737226681674973
7344.947477369201,24629.109083625983,21337.46210432904,0.015737226681674973
7347.5170191762845,24618.63488668116,21339.9509787862,0.015737226681674973
7339.322381338867,24616.574009124557,21330.006729368342,0.015737226681674973
7347.865265465237,24608.8417439367,21333.995096283234,0.015737226681674973
7340.340064757088,24622.561351400935,21339.190781728128,0.015737226681674973
7343.387652823612,24624.474786230683,21338.890615529956,0.015737226681674973
7348.73698205126,24624.312108685306,21336.681070228802,0.015737226681674973
7335.981255144328,24610.30291483356,21331.397051000098,0.015737226681674973
7350.299242667785,24620.710993630033,21330.086049210524,0.015737226681674973
7347.501107661188,24628.180993780607,21333.900510665047,0.015737226681674973
7344.589742568891,24623.663890322234,21325.915337288247,0.015737226681674973
7347.550512968273,24620.475852890275,21340.192701553056,0.015737226681674973
7337.266659999804,24611.569468793128,21327.855558631974,0.015737226681674973
7344.087103257756,24628.27713570244,21324.48149623759,0.015737226681674973
7346.144729846932,24621.675703183642,21325.76460695581,0.015737226681674973
7336.934530284288,24612.269825931668,21337.470969228198,0.015737226681674973
7342.002846144144,24620.514827075785,21343.43490729688,0.015737226681674973
7350.132358043049,24621.132549015154,21334.925651857502,0.015737226681674973
7347.515352078161,24610.717707787888,21338.307690706482,0.015737226681674973
7340.822154148932,24625.280274185192,21336.603896190256,0.015737226681674973
7340.571736862589,24613.316192858412,21325.438844333472,0.015737226681674973
7350.727514957517,24614.8882385558,21331.065599727615,0.015737226681674973
7343.398930133931,24626.270986644533,21339.520055696572,0.015737226681674973
7342.2600458360375,24617.282963825965,21331.55057152751,0.015737226681674973
7342.323077267494,24624.302261084547,21332.562410480015,0.015737226681674973
7344.620018399213,24618.371451451403,21329.52464591796,0.015737226681674973
7335.181834807614,24620.954214666996,21339.73494600875,0.015737226681674973
7346.525571312948,24629.150547941168,21326.108286883307,0.015737226681674973
7346.520318536534,24626.390666387724,21325.96948269256,0.015737226681674973
7352.347479527871,24626.32968403546,21336.008783020203,0.015737226681674973
7346.143592211878,24619.59726858832,21334.48619823434,0.015737226681674973
7346.789084550799,24625.970246434943,21332.56118276121,0.015737226681674973
7346.3999447706665,24619.028415547706,21330.627805663084,0.015737226681674973
7348.296629524213,24620.18441485223,21330.620778862118,0.015737226681674973
7345.441502496321,24621.118469859597,21330.68370007361,0.015737226681674973
7350.126038553227,24610.587650423146,21329.513703382774,0.015737226681674973
7337.198532681227,24610.449820653208,21331.263074392944,0.015737226681674973
7345.580919731472,24620.392070882634,21334.763941853147,0.015737226681674973
7342.75927827264,24619.797642597172,21332.483998345033,0.015737226681674973
7345.662414986188,24621.454828949052,21332.89323900107,0.015737226681674973
7345.82767892256,24616.949493968008,21336.024321357618,0.015737226681674973
7347.877189981862,24621.289167394705,21329.126092284,0.015737226681674973
7341.516690217154,24618.580968356167,21339.978528314143,0.015737226681674973
7349.0491627680885,24624.377176592214,21323.775350920678,0.015737226681674973
7337.037511309242,24622.315462130933,21337.47905563106,0.015737226681674973
7347.822992757211,24622.473119554183,21335.17361658242,0.015737226681674973
7342.202821053918,24631.45398676172,21333.81360096876,0.015737226681674973
7342.535435245466,24623.290825895845,21328.167788397615,0.015737226681674973
7350.605508287392,24625.513329082674,21326.9405767539,0.015737226681674973
7341.779329219186,24621.6019832173,21332.5969142124,0.015737226681674973
7341.853703579968,24610.075495781126,21332.48325108065,0.015737226681674973
7350.349919378651,24619.781536027273,21338.57821502911,0.015737226681674973
7341.648227395867,24620.96791644975,21331.71723291941,0.015737226681674973
7344.66145362636,24627.76761424529,21324.756807052916,0.015737226681674973
7336.228866393992,24611.247037629608,21330.556593834364,0.015737226681674973
7348.984370555761,24625.152495064576,21330.033970896886,0.015737226681674973
7349.87510543273,24622.06016054217,21334.76542515815,0.015737226681674973
7340.831700361641,24627.943897121324,21334.24354458032,0.015737226681674973
7342.692832939206,24618.629929735718,21339.685794921945,0.015737226681674973
7341.520981816489,24625.3505730085,21335.5561210996,0.015737226681674973
7344.699651002978,24620.41019820331,21338.42982418573,0.015737226681674973
7335.923219570652,24623.58485371557,21332.188038293985,0.015737226681674973
7338.180716393476,24617.646457134197,21333.903181997583,0.015737226681674973
7343.311120109979,24609.345432140806,21336.3156892983,0.015737226681674973
7344.66306950215,24609.555190624258,21335.261185267012,0.015737226681674973
7340.778592385959,24616.26494968028,21329.994277479473,0.015737226681674973
7335.525848616176,24621.473861539584,21324.241667497183,0.015737226681674973
7334.445396553937,24620.8030117504,21336.730087970387,0.015737226681674973
7340.645757986983,24627.140757255635,21337.142517427434,0.015737226681674973
7346.425869010274,24620.072940471437,21329.122443733195,0.015737226681674973
7350.8721809300605,24628.36992292732,21335.509464139603,0.015737226681674973
